reason,source,nft_id,original_name,metadata_urls
leading-underscore,namesdao,nft1uy77a320ycrukgclxu2ayve9p32ryqa33lwx320z29yg322qjgnsgcsr3q,___metastable,https://storage1.xchstorage.cyou/namesdao/___metastable-4066294.json|ipfs://bafyreidik3jwqw3sk4h5ooajzyh5hajzghvz3wxflz4mcn3lsuke27e5fe/metadata.json
leading-underscore,namesdao,nft1uyhtstywtj9l0ulp83d8p6vmtuglevauen5xgm60p4s53t6p5pnq25kzn5,_prime,https://storage1.xchstorage.cyou/namesdao/_prime-4511090.json|https://storage2.xchstorage.cyou/namesdao/_prime-4511090.json|ipfs://bafyreickbrhsaagwimf6en6ov7hho2bdzmpnofmwc4oeuvclbmqiavmhty/metadata.json
leading-underscore,namesdao,nft1uyva9j7c794u2d52fuggqn0u4pt0sxwjjh9y7g8nhf60tdcfjh4q4082ea,_cherryx,https://storage1.xchstorage.cyou/namesdao/_cherryx-4099240.json|https://storage2.xchstorage.cyou/namesdao/_cherryx-4099240.json|ipfs://bafyreif6en5j4jpeaq34gpcokniszkw3n2z6fou32tbmbyrq34zyhmfdb4/metadata.json
leading-underscore,namesdao,nft1uywqq5d9vlfsnlfjn2ywhqteuf7jxjj5qt2fyfuhztx759fycmus2ypv66,_chiaserbia,https://storage1.xchstorage.cyou/namesdao/_chiaserbia-4094075.json|https://storage2.xchstorage.cyou/namesdao/_chiaserbia-4094075.json|ipfs://bafyreibxteygwwezzrsvjkk7kk3p4sm6wrzmctl64xbyab7d2kji7sbsxq/metadata.json
leading-underscore,namesdao,nft1uyzvfelqmympzj6euqxjksp472k7lz2u4s3d29yw3kwagc2h2ylslruqnx,___snoopdogg,https://storage1.xchstorage.cyou/namesdao/___snoopdogg-4054400.json|ipfs://bafyreid3jbydldzzttgpvszdfapuji72f7jvrfqudi4snoj65uaqd77ssm/metadata.json
leading-underscore,namesdao,nft1uz9fg332zrqq7mhqeeah98pppsxs8gmlelrq0fc3nqp9lxdlmvxqr2zmsg,___challenge,https://storage1.xchstorage.cyou/namesdao/___challenge-4069580.json|ipfs://bafyreidkibju4g6yhxvxxo7l4wmzg5pnvizj6wo6jmavtqphhgjxphbur4/metadata.json
leading-underscore,namesdao,nft1uzpeh09rzuxm7ww495cnadhsmazpzrdwv2a937naz5k4jvetexsq9h3dkz,_wuxiaworld,https://storage1.xchstorage.cyou/namesdao/_wuxiaworld-4094125.json|https://storage2.xchstorage.cyou/namesdao/_wuxiaworld-4094125.json|ipfs://bafyreihz3qpjq6kgwzrbwliiurhrzzjyeyv2za2kn4wh7iks6cydp4sv3q/metadata.json
leading-underscore,namesdao,nft1uzqm5f55emfaj5asrl2pwy5kft06l9j0289vgttkx25zwvd4au3sx0pmt0,_7777777,https://storage1.xchstorage.cyou/namesdao/_7777777-4093443.json|https://storage2.xchstorage.cyou/namesdao/_7777777-4093443.json|ipfs://bafyreihjhhnfxdngbdxuy55fjtsa6dg3dc5qu3of4igquuq5gdc7ijfkja/metadata.json
leading-underscore,namesdao,nft1uzt0pl00h5vuyemdx8axvjh5zu555wnhactvrw27r0e77xy32ctsh34ezm,___green,https://storage1.xchstorage.cyou/namesdao/___green-4778151.json|https://storage2.xchstorage.cyou/namesdao/___green-4778151.json|ipfs://bafyreibh3lqyygj7zopazxuza5yqvsymzsnqg6dnhlr2ixcnuqghjaxwoa/metadata.json
leading-underscore,namesdao,nft1v048qwvzpr3rzr3y6hsrrpkqfv8hka0dafpgelgzx8jf009v0ueqamxm6s,___chaimgertsberg,https://storage1.xchstorage.cyou/namesdao/___chaimgertsberg-4154542.json|https://storage2.xchstorage.cyou/namesdao/___chaimgertsberg-4154542.json|ipfs://bafyreif7kajqtfuwgmkyam6pucmmfr27ogvqrgauwa23l5v5vjfwteiequ/metadata.json
leading-underscore,namesdao,nft1v04l5pq6h0zv8l2rq402lvhu5y9lmqqfvg9h07ma23wcffsvkq2sz2dr9h,___diamond,https://storage1.xchstorage.cyou/namesdao/___diamond-4090866.json|https://storage2.xchstorage.cyou/namesdao/___diamond-4090866.json|ipfs://bafyreibnovlc3l6guy2a64ziknyrth4syuduovsgxhguxfspnp6aw2uoxy/metadata.json
leading-underscore,namesdao,nft1v0easjq2k8y4r7z9pzqjl9vme5f2yhdflxqgkze2fxd9vfesh0wsf8n5mx,___gertsbergchaim,https://storage1.xchstorage.cyou/namesdao/___gertsbergchaim-4154556.json|https://storage2.xchstorage.cyou/namesdao/___gertsbergchaim-4154556.json|ipfs://bafyreia7t4bb7t3zgeyexlbnr27gezn64ylmqxpf6jqfcrnvxrhmipyxxa/metadata.json
leading-underscore,namesdao,nft1v0ga2d2gtpt5yemux9jv7kguxgzdthmvktw6gsja6253lksu2lkq23jjkv,___fpsgames,https://storage1.xchstorage.cyou/namesdao/___fpsgames-4821132.json|https://storage2.xchstorage.cyou/namesdao/___fpsgames-4821132.json|ipfs://bafyreihiwypzqijffayzjuppv4ib67omic4pmitikrg2thwau56bqk2qoi/metadata.json
